INFO   | jvm 1    | 2012/11/14 20:51:27 | 信息: Refreshing org.springframework.web.context.support.XmlWebApplicationContext@587c94: display name [Root WebApplicationContext]; startup date [Wed Nov 14 20:51:27 CST 2012]; root of context hierarchy
INFO   | jvm 1    | 2012/11/14 20:51:27 | 2012-11-14 20:51:27 org.springframework.beans.factory.xml.XmlBeanDefinitionReader loadBeanDefinitions
INFO   | jvm 1    | 2012/11/14 20:51:27 | 信息: Loading XML bean definitions from ServletContext resource [/WEB-INF/peds-servlet.xml]
INFO   | jvm 1    | 2012/11/14 20:51:27 | 2012-11-14 20:51:27 org.springframework.context.support.AbstractApplicationContext obtainFreshBeanFactory
INFO   | jvm 1    | 2012/11/14 20:51:27 | 信息: Bean factory for application context [org.springframework.web.context.support.XmlWebApplicationContext@587c94]: org.springframework.beans.factory.support.DefaultListableBeanFactory@1484a05
INFO   | jvm 1    | 2012/11/14 20:51:27 | 2012-11-14 20:51:27 org.springframework.beans.factory.support.DefaultListableBeanFactory preInstantiateSingletons
INFO   | jvm 1    | 2012/11/14 20:51:27 | 信息: Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@1484a05: defining beans [/index.htm,InternalPathMethodNameResolver,viewResolver,loginController,urlMapping]; root of factory hierarchy
INFO   | jvm 1    | 2012/11/14 20:51:27 | 2012-11-14 20:51:27 org.springframework.web.context.ContextLoader initWebApplicationContext
INFO   | jvm 1    | 2012/11/14 20:51:27 | 信息: Root WebApplicationContext: initialization completed in 888 ms
INFO   | jvm 1    | 2012/11/14 20:51:28 | 2012-11-14 20:51:28.049:/peds:INFO:  Initializing Spring FrameworkServlet 'peds'
INFO   | jvm 1    | 2012/11/14 20:51:28 | 2012-11-14 20:51:28 org.springframework.web.servlet.FrameworkServlet initServletBean
INFO   | jvm 1    | 2012/11/14 20:51:28 | 信息: FrameworkServlet 'peds': initialization started
INFO   | jvm 1    | 2012/11/14 20:51:28 | 2012-11-14 20:51:28 org.springframework.context.support.AbstractApplicationContext prepareRefresh
INFO   | jvm 1    | 2012/11/14 20:51:28 | 信息: Refreshing org.springframework.web.context.support.XmlWebApplicationContext@d3db51: display name [WebApplicationContext for namespace 'peds-servlet']; startup date [Wed Nov 14 20:51:28 CST 2012]; parent: org.springframework.web.context.support.XmlWebApplicationContext@587c94
INFO   | jvm 1    | 2012/11/14 20:51:28 | 2012-11-14 20:51:28 org.springframework.beans.factory.xml.XmlBeanDefinitionReader loadBeanDefinitions
INFO   | jvm 1    | 2012/11/14 20:51:28 | 信息: Loading XML bean definitions from ServletContext resource [/WEB-INF/peds-servlet.xml]
INFO   | jvm 1    | 2012/11/14 20:51:28 | 2012-11-14 20:51:28 org.springframework.context.support.AbstractApplicationContext obtainFreshBeanFactory
INFO   | jvm 1    | 2012/11/14 20:51:28 | 信息: Bean factory for application context [org.springframework.web.context.support.XmlWebApplicationContext@d3db51]: org.springframework.beans.factory.support.DefaultListableBeanFactory@39e5b5
INFO   | jvm 1    | 2012/11/14 20:51:28 | 2012-11-14 20:51:28 org.springframework.beans.factory.support.DefaultListableBeanFactory preInstantiateSingletons
INFO   | jvm 1    | 2012/11/14 20:51:28 | 信息: Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@39e5b5: defining beans [/index.htm,InternalPathMethodNameResolver,viewResolver,loginController,urlMapping]; parent: org.springframework.beans.factory.support.DefaultListableBeanFactory@1484a05
